КРАТКОЕ НАИМЕНОВАНИЕ,НАИМЕНОВАНИЕ 2ГИС,ОФИЦ. НАИМЕНОВАНИЕ СУБЪЕКТА,КОД ISO 3166-2,КОДЫ ГИБДД,КОД ОКАТО И ОКТМО,"КОД ГОСТ 7.67-2003",ТОЧКА
Калининградская область,Калининградская область,Калининградская область,RU-KGD,"39, 91",27,"RU-KAG","54.7073218;20.5072458"
Калужская область,Калужская область,Калужская область,RU-KLU,40,29,"RU-KAL","54.5060439;36.2515933"
Кемеровская область,Кемеровская область — Кузбасс,Кемеровская область,RU-KEM,"42, 142",32,"RU-KEM","53.7942757;87.2144046"
Кировская область,Кировская область,Кировская область,RU-KIR,43,33,"RU-KIR","54.0790823;34.3077508"
Костромская область,Костромская область,Костромская область,RU-KOS,44,34,"RU-KOS","57.8029445;40.9907282"
Курганская область,Курганская область,Курганская область,RU-KGN,45,37,"RU-KUG","55.4443448;65.3161339"
Курская область,Курская область,Курская область,RU-KRS,46,38,"RU-KUR","51.7303391;36.1926448"
Ленинградская область,Ленинградская область,Ленинградская область,RU-LEN,"47, 147",41,"RU-LEN","59.5650861;30.1281859"
Липецкая область,Липецкая область,Липецкая область,RU-LIP,48,42,"RU-LIP","52.6103027;39.5946266"
Магаданская область,Магаданская область,Магаданская область,RU-MAG,49,44,"RU-MAG","59.5681763;150.8085289"
Московская область,Московская область,Московская область,RU-MOS,"50, 90, 150, 190, 750, 790",46,"RU-MOS","55.9590154;38.0409171"
Мурманская область,Мурманская область,Мурманская область,RU-MUR,51,47,"RU-MUR","67.9385206;32.9358886"
Нижегородская область,Нижегородская область,Нижегородская область,RU-NIZ,"52, 152, 752",22,"RU-NIZ","56.3242093;44.0053948"
Новгородская область,Новгородская область,Новгородская область,RU-NGR,53,49,"RU-NGR","58.5214003;31.2755051"
Новосибирская область,Новосибирская область,Новосибирская область,RU-NVS,"54, 154, 754",50,"RU-NVS","55.0281016;82.9210575"
Омская область,Омская область,Омская область,RU-OMS,"55, 155",52,"RU-OMS","54.9848136;73.3674638"
Оренбургская область,Оренбургская область,Оренбургская область,RU-ORE,"56, 156",53,"RU-ORE","51.7875191;55.1017379"
Орловская область,Орловская область,Орловская область,RU-ORL,57,54,"RU-ORL","52.9687747;36.0694937"
Пензенская область,Пензенская область,Пензенская область,RU-PNZ,"58, 158",56,"RU-PNZ","53.1753884;45.0347408"
Псковская область,Псковская область,Псковская область,RU-PSK,60,58,"RU-PSK","57.819284;28.3318188"
Ростовская область,Ростовская область,Ростовская область,RU-ROS,"61, 161, 761",60,"RU-ROS","47.283455;39.501518"
Рязанская область,Рязанская область,Рязанская область,RU-RYA,62,61,"RU-RYA","54.625457;39.7359992"
Самарская область,Самарская область,Самарская область,RU-SAM,"63, 163, 763",36,"RU-SAM","53.1951657;50.1067691"
Саратовская область,Саратовская область,Саратовская область,RU-SAR,"64, 164",63,"RU-SAR","51.530376;45.9530257"
Сахалинская область,Сахалинская область,Сахалинская область,RU-SAK,65,64,"RU-SAK","47.0408637;142.0416619"
Свердловская область,Свердловская область,Свердловская область,RU-SVE,"66, 96, 196",65,"RU-SVE","56.8386326;60.6054887"
Смоленская область,Смоленская область,Смоленская область,RU-SMO,67,66,"RU-SMO","54.7867168;31.8153366"
Тамбовская область,Тамбовская область,Тамбовская область,RU-TAM,68,68,"RU-TAM","52.7213021;41.452258"
Тверская область,Тверская область,Тверская область,RU-TVE,69,28,"RU-TVE","56.8585396;35.9117898"
Томская область,Томская область,Томская область,RU-TOM,70,69,"RU-TOM","56.4847036;84.9481737"
Тульская область,Тульская область,Тульская область,RU-TUL,71,70,"RU-TUL","53.9731407;38.1763104"
Тюменская область,Тюменская область,Тюменская область,RU-TYU,"72, 172",71,"RU-TYU","57.1530824;65.5343118"
Ульяновская область,Ульяновская область,Ульяновская область,RU-ULY,"73, 173",73,"RU-ULY","54.3080674;48.3748717"
Херсонская область,Херсонская область,Херсонская область,—,84,74,"—","46.50000;34.00000"
Челябинская область,Челябинская область,Челябинская область,RU-CHE,"74, 174, 774",75,"RU-CHE","55.1603659;61.4007858"
Ярославская область,Ярославская область,Ярославская область,RU-YAR,76,78,"RU-YAR","57.6216145;39.897878"
Москва,Москва,город федерального значения Москва,RU-MOW,"77, 97, 99, 177, 197, 199, 777, 797, 799, 977",45,"RU-MS, RU-MOW","55.862009;37.463549"
Санкт-Петербург,Санкт-Петербург,город федерального значения Санкт-Петербург,RU-SPE,"78, 98, 178, 198",40,"RU-SP, RU-SPB","59.938732;30.316229"
Севастополь,Севастополь,город федерального значения Севастополь,UA-40,92,67,"—","44.6167334;33.5253552"
Еврейская автономная область,Еврейская АОбл.,Еврейская автономная область,RU-YEV,79,99,"RU-JEW","48.7945975;132.9217594"
Ненецкий автономный округ,Ненецкий АО,Ненецкий автономный округ,RU-NEN,83,111/118&#91;21&#93;,"RU-NEN","67.6381525;53.0069336"
Ханты-Мансийский АО,Ханты-Мансийский АО,Ханты-Мансийский автономный округ — Югра,RU-KHM,"86, 186",71100/718&#               ,91;21&#93;,"RU-KHM","60.9397379;76.5696206"
Чукотский АО,Чукотский АО,Чукотский автономный округ,RU-CHU,87,77,"RU-CHU","64.7314347;177.5015752"
Ямало-Ненецкий АО,Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,RU-YAN,89,71140/719&#91;21&#93;,"RU-YAN","64.4456575;76.4714559"
Байконур,Байконур,"Территории находящиеся за пределами РФ и обслуживаемые Управлением режимных объектов МВД России.  Байконур",               ,KZ-BAY,94,55 (Байконур),"—","","45.61667;63.31667"
